County	Illinois	McHenry County		McHenry County Emergency Utility and Rental Assistance Program	The McHenry County Emergency Utility and Rental Assistance Program will distribute $9.12 million allocated to the county through the COVID-19 stimulus bill signed into law Dec. 27. The program aims to reduce or eliminate pandemic-related evictions, prevent homelessness, avoid damaged credit that could hurt future housing opportunities for renters, and repair landlord/tenant relationships strained because of lack of payment. Landlords can apply for assistance as well.	https://mchenryrent.com/		Applications on hold/Waitlist	Department of Planning and Development  Community Development Division, McHenry County Housing Authority, Home of the Sparrow, Consumer Credit Counseling Service of IL	Intergovernmental collaboration + private collaboration	Unspecified	Unknown	$16,341,726.10	Treasury ERA1 and Treasury ERA2	Both	12 months	12 months		Yes			Unknown		Tenant	No		Prioritization required, Process not established on website	Senior citizens 62+, Dependents	Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified		Unknown	Unknown		Unspecified		https://www.mchenrycountyil.gov/Home/Components/News/News/16388/17						3/26/2021	8/12/2022	McHenry County, Illinois	42.3039993, -88.4016041
County	Illinois	Winnebago County		Winnebago County Emergency Rental Assistance	Applications for the Emergency Rental Assistance Grant are now open!  If COVID-19 has impacted your ability to make rent payments, you may be eligible to receive help.  The money is available through a federally-funded $8.3 million grant which is meant to provide housing stability for renters and landlords.	https://wincoil.us/departments/county-board-office/rent-help/		Applications on hold/Waitlist	Winnebago County and City of Rockford Dept. of Human Services	Intergovernmental collaboration	Unspecified	n/a	$15,003,587.80	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months		Yes	12 months	Electric, gas, water, wastewater or sewer, trash removal, internet service (with conditions)	Yes	Internet	Both	No		Prioritization required, Process established on website	Active/ at risk of eviction	First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease	Eviction Notice, Past Due Rent, Utility disconnected; Tenant signed Illinois' Exec Order 2020-72 halting evictions	Yes	Self-Attestation Permitted	COVID Hardship, Income, Income Non-Traditional, Housing Instability	Unspecified	Future Rent Increase Restrictions, Rental Ledger/ Lease, Current Property Taxes	https://wincoil.us/media/307651/winnebago_county_era_policyv4__3.30.21_.pdf						4/1/2021	8/12/2022	Winnebago County, Illinois	42.3121109, -89.1705998
State	Indiana			Indiana Emergency Rental Assistance	The Indiana Emergency Rental Assistance (IERA) program can provide eligible renters with up to twelve (12) months of rental assistance. Qualifying applicants may also receive utility and/or home energy assistance for past due utilities (electric, gas, water, sewer, and trash) and home energy (fuel oil, wood, coal, pellets, and propane) expenses and internet/ broadband assistance for past due internet expenses.	https://indianahousingnow.org/		Applications on hold/Waitlist	Indiana Department of Housing and Community Authority, Indiana 211, Indiana Bar Foundation, Indiana Community Action Association, PHAs	Intergovernmental collaboration + private collaboration	Unspecified	Intake Support, Case management, Unknown	$563,449,423.50	Treasury ERA1 and Treasury ERA2	Both	15 months			Yes	15 months	electric, gas, water, sewer, and trash) and home energy (fuel oil, wood, coal, pellets, and propane	Yes	Hotel/Motel Stays	Tenant	Yes		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs	Eviction Notice, Past Due Rent	Yes	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional, Housing Instability	Categorical Eligibility	W-9/Payee Information, Eviction Restrictions During Covered Period, Future Rent Increase Restrictions	https://iaaonline.net/rentalassistance/	https://www.wishtv.com/news/i-team-8/marion-county-has-9-of-10-indiana-zip-codes-with-most-evictions/	https://dailyjournal.net/2021/11/03/state-eviction-diversion-program-launched/	http://www.wbiw.com/2022/01/06/ihcda-announces-new-partnerships-for-statewide-renter-services/			3/5/2021	7/26/2022	Indiana	40.2671941, -86.1349019
County	Indiana	Elkhart County		Elkhart County Emergency Rental Assistance Program	Elkhart County ERAP makes funding available to eligible households to apply to past due and future payments for rent, utilities (water, sewer, stormwater, gas, trash and electricity) and internet. When possible, payments will be made on behalf of tenants directly to landlords  and utility companies. The goal of this program is to increase housing stability in Elkhart County.	https://elkhartcounty.com/en/residents/elkhart-county-rental-assistance-program/		Applications on hold/Waitlist	Baker Tilly US, LLP, Crossroads United Way	Private-private collaboration	Yes - Baker Tilly	Targeted outreach	$6,178,131.60	Treasury ERA1 only	Both	6 months	6 months	MONTHLY: $1,500	Yes	6 months	electricity, gas, water and sewer, internet, trash removal, and energy costs, such as fuel oil	Yes	Internet	Tenant	Yes	10 days	Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease	Past Due Rent, Past due utilities	Yes	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional	Unspecified	W-9/Payee Information, Eviction Restrictions During Covered Period	https://elkhartcounty.com/en/residents/elkhart-county-rental-assistance-program/	https://elkhartcounty.com/documents/1770/Elkhart_County_ERA_Program_FAQ_Document_5.11.21_1.pdf	https://elkhartcounty.com/documents/1527/Elkhart_County_ERA_Program_One-Pager_Tenants_1.pdf	https://www.wvpe.org/indiana-news/2021-03-08/elkhart-county-launches-covid-19-rental-assistance-program			4/16/2021	7/26/2022	Elkhart County, Indiana	41.6062253, -85.84862360000001
City	Indiana	Fort Wayne		Fort Wayne Emergency Rental Assistance Program	The Emergency Rental Assistance Program (“ERAP”) provides funding to help qualified renter households pay for housing costs including  past due rent and utility bills and up to 3 months of future rent.	https://www.fwcommunitydevelopment.org/housing/rental-assistance		Applications on hold/Waitlist	City of Fort Wayne, Baker Tilly US, Brightpoint, Lutheran Social Services, Catholic Charities, Just neighbors Eviction Prevention Program	Public-private collaboration	Yes - Baker Tilly	Intake support, Case management	$27,402,354.00	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months		Yes	12 months	electricity, gas, water and sewer, trash removal and other energy costs, such as fuel oil	Yes	Hotel/Motel Stays, Uncategorized Housing Expenses	Tenant	Unknown		Prioritization required, Process not established on website	Active/ at risk of eviction	First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Any govt. ID, Current Lease	Eviction Notice, Past Due Rent, Past due utlities	Yes	Self-Attestation Permitted	Income Non-Traditional	Categorical Eligibility	W-9/Payee Information	https://www.wane.com/news/local-news/city-of-fort-wayne-announces-emergency-rental-assistance-program-for-those-impacted-by-pandemic/	https://www.fwcommunitydevelopment.org/images/ERA-Frequently-Asked-Questions_Pub-3-16-21.pdf	https://www.fwcommunitydevelopment.org/images/City_of_Fort_Wayne_Emergency_Rental_Assistance_Program_Application_FINAL.pdf	https://www.in.gov/courts/iocs/files/eviction-taskforce-interim-report.pdf	https://www.cityoffortwayne.org/contact-us/227-covid19/4793-volunteer.html		3/16/2021	7/26/2022	Fort Wayne, Indiana	41.079273, -85.1393513
County	Indiana	Hamilton County		Hamilton County Emergency Rental Assistance Program (ERAP)	Hamilton County officials announced the opening of the Hamilton County Emergency Rental Assistance Program (HC ERAP) for renters who have been financially impacted from COVID-19. Applications will be accepted beginning March 15 at 9 a.m.	https://www.hctaindiana.com/era		Applications on hold/Waitlist	County of Hamilton, Hamilton County Trustees Association, CBOs	Public-private collaboration	Unspecified	Intake support, Application processing	$18,128,398.00	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months	TOTAL: $5,000, varies based on AMI	Yes		electricity, gas, water, sewer, trash removal, propane, and some internet costs	Yes	Relocation Expenses, Late Fees, Internet	Tenant	Yes	21 days	Prioritization required, Process established on website	Active/ at risk of eviction	Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease		No	Self-Attestation Permitted	Income Non-Traditional	Unspecified	W-9/Payee Information	https://www.wishtv.com/news/coronavirus/hoosiers-can-sign-up-for-new-rental-assistance-program/	https://static1.squarespace.com/static/6011a9dd3a8b0359ba1aeab4/t/604bde5374dec0052e1575ef/1615584852252/Renters+Resources+and+FAQs.pdf	https://www.in.gov/courts/iocs/files/eviction-taskforce-interim-report.pdf				2/18/2021	7/26/2022	Hamilton County, Indiana	40.0372797, -86.05296039999999
City	Indiana	Indianapolis		Indianapolis Rental Assistance Program	Indianapolis’ Rental Assistance Program will reopen on April 5. The announcement comes after the Centers for Disease Control and Prevention extended the federal eviction moratorium through the end of June. Renters are encouraged to submit their information on the waitlist on this website. People on the waitlist will have the first opportunities to apply.	https://indyrent.org/		Applications on hold/Waitlist	City of Indianapolis, Indianapolis Community Response Network, multiple nonprofits	Public-private collaboration	Unspecified	Intake support	$153,757,871.30	Treasury ERA1 only	Both	15 months		Fair Market Rent	No			Yes	Late Fees	Both	Yes	21 days	Prioritization required, Process not established on website		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs		Yes	Unknown		Categorical Eligibility	W-9/Payee Information, Rental Ledger/ Lease	https://fox59.com/news/coronavirus/indianapolis-rental-assistance-program-to-reopen-on-april-5-with-30-million-in-funding-available/	http://www.wbiw.com/2021/08/18/lt-gov-crouch-ihcda-awards-the-city-of-indianapolis-91-million-for-rental-assistance/					4/6/2021	7/26/2022	Indianapolis, Indiana	39.768403, -86.158068
County	Indiana	Lake County		Lake County Emergency Assistance (LCERA) program	The economic crises caused by COVID-19 has created a need for rental and utility assistance throughout Lake County. The Lake County Emergency Assistance (LCERA) program helps renters whose income has been impacted by the pandemic. Please see below for additional information.	https://www.lakecountyin.care/		Applications on hold/Waitlist	City of Hammond, Hanover Township Trustee, Geminus, CBOs	Public-private collaboration	Unspecified	Intake support	$51,038,237.10	Treasury ERA1 only	Both	12 months			Yes	12 months	internet, home energy, water, gas, sewer, trash	Yes	Internet	Tenant	Unknown		Prioritization required, Process not established on website		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease	Eviction Notice, Past Due Rent	Unknown	Self-Attestation Permitted	Income, Income Non-Traditional	Unspecified		https://www.lakecountyin.care/						4/12/2021	7/26/2022	Lake County, Indiana	41.4897279, -87.30161319999999
County	Indiana	St. Joseph County		St. Joseph County’s Emergency Rental Assistance (ERA)	St. Joseph County’s Emergency Rental Assistance (ERA) is designed to decrease evictions, increase housing stability, and prevent homelessness by helping tenants whose income has been negatively impacted by COVID-19 with rent and utility payments. ERA can provide eligible tenants with up to twelve (12) months of rental assistance. Utility assistance may also be provided to qualifying applicants for past due utilities (electric, gas, water, sewer, and trash) and home energy (fuel oil, wood, coal, pellets, and propane) expenses.	https://www.sjcindiana.com/2019/Emergency-Rental-Assistance-Program		Applications on hold/Waitlist	St. Joseph County, St. Vincent de Paul, REAL Services, United Religious Community, Indiana Parenting Institute, Catholic Charities	Public-private collaboration	Unspecified	Intake support	$17,878,726.90	Treasury ERA1 and Treasury ERA2	Both	12 months	12 months		Yes	12 months	electric, gas, water, sewer, and trash, and home energy (fuel oil, wood, coal, pellets, and propane)	No		Both	Yes		Prioritization required, Process not established on website	Active/ at risk of eviction	First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease	Eviction Notice, Past Due Rent, Past due utility	Yes	Unknown		Categorical Eligibility	W-9/Payee Information, Eviction Restrictions During Covered Period	https://www.sjcindiana.com/2019/Emergency-Rental-Assistance-Program	https://www.sjcindiana.com/DocumentCenter/View/51754/ERA-Tenant-OneSheet	https://www.in.gov/courts/iocs/files/eviction-taskforce-interim-report.pdf	https://www.abc57.com/news/st-joseph-county-emergency-rental-assistance-program-extends-its-deadline-to-november-19			4/16/2021	7/26/2022	St. Joseph County, Indiana	41.6228085, -86.3376761
State	Iowa			Iowa Rent and Utility Assistance Program	The Iowa Rent and Utility Assistance Program may provide eligible renters with help with rent and utility bills. Iowa received $195 million through the Department of Treasury to administer this program, which covers rental arrears accumulated since March 2020.	https://www.iowafinance.com/iowa-rent-and-utility-assistance-program/		Applications on hold/Waitlist	Iowa Finance Authority	Single agency (public sector)	Unspecified	n/a	$279,125,056.80	Treasury ERA1 only	Arrears only	12 months	12 months		Yes		Electricity, gas, propane or fuel oil, water, sewer and/or trash removal	No		Tenant	No		Prioritization required, Process not established on website		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs	Eviction Notice, Past Due Rent, Past due utility	Yes	Self-Attestation Permitted	COVID Hardship	Categorical Eligibility	W-9/Payee Information, Waive Late Fees, Eviction Restrictions During Covered Period	https://www.iowafinance.com/iowa-rent-and-utility-assistance-program/	https://www.iowafinance.com/iowa-rent-and-utility-assistance-program/iowa-rent-and-utility-assistance-program-landlord-information/	https://www.thegazette.com/state-government/iowa-catching-up-on-assisting-iowans-with-rent-utilities/				2/25/2021	7/26/2022	Iowa	41.8780025, -93.097702
County	Iowa	Linn County		Linn County Emergency Rental Assistance	Linn County, with assistance from Waypoint and HACAP, is administering rent and utility assistance through the federal Emergency Rental Assistance Program (ERAP) to residents of Linn County. This program may provide eligible residents with up to 18 months of rent and/or utility assistance.	https://www.linncounty-ia.gov/1585/Emergency-Rental-Assistance		Applications on hold/Waitlist	Linn County, Way Point, HACAP	Public-private collaboration	Unspecified	Intake support, Specialized case management, Other	$5,367,267.40	Treasury ERA2 only	Both		18 months		Yes		water, sewer, trash, gas, propane, electricity	Yes	Late Fees, Internet	Tenant	Yes		Prioritization required, Process not established on website	Active/ at risk of eviction, Utility shutoff	Unknown	80% AMI or less, Hardship during OR due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease	Eviction Notice, Past Due Rent, Utility shut off, unsafe/unhealthy conditions	Unknown	Self-Attestation Permitted	COVID Hardship	Categorical Eligibility		https://www.linncounty-ia.gov/CivicAlerts.aspx?AID=2426						8/24/2021	7/26/2022	Linn County, Iowa	42.0659844, -91.67606909999999
County	Iowa	Polk County		Emergency Rental Assistance Program (ERAP)	IMPACT Community Action Partnership is administering rent assistance through the Emergency Rental Assistance Program (ERAP) to residents of Polk County, including the City of Des Moines. This program may provide eligible residents of the City of Des Moines and Polk County with assistance for a period of up to twelve months. Applicants must be able to demonstrate a COVID-related impact to their household income that has affected their ability to pay rent.	https://www.impactcap.org/erap	Polk County, Des Moines	Accepting applications	IMPACT Community Action Program, Des Moines, Polk County	Public-private collaboration	Unspecified	Intake support, Application processing	$91,283,046.20	Treasury ERA1 and Treasury ERA2	Both	12 months	12 months		Yes	12 months	electricity, gas, propane, water, sewer, and/or trash removal	No		Tenant	Yes		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified	Past Due Rent	Unknown	Self-Attestation Permitted	COVID Hardship	Categorical Eligibility	W-9/Payee Information, Waive Late Fees	https://www.impactcap.org/erap	https://www.dsm.city/news_detail_T2_R351.php					3/3/2021	7/26/2022	Polk County, Iowa	41.6278423, -93.5003454
Tribal Government	Iowa		Sac and Fox Tribe of The Mississippi In Iowa	Sac and Fox Tribe of the Mississippi in Iowa Emergency Rental Assistance Program	The Sac and Fox Tribe of the Mississippi in Iowa Meskwaki Housing Program will administer the Tribal Emergency Rental Assistance Program (TERAP) through local networks of nonprofit agencies starting June 1, 2021.  TERAP can provide rental and utility assistance for eligible renter households affected by COVID-19 so they can retain their housing stability.	https://www.meskwaki.org/terap/		Program permanently closed	Meskwaki Nation & multiple nonprofits	Public-private collaboration	Unspecified	Unknown	$415,257.74	Treasury ERA1 only	Arrears only	3 months			Yes		electricity, fuel oil, natural gas, water and sewer, trash removal	Yes	Relocation Expenses, Hotel/Motel Stays, Internet	Both	Unknown		Prioritization required, Process established on website	Service categories based on geography	Other	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card	Eviction Notice, Past Due Rent	Unknown	Self-Attestation Permitted	COVID Hardship, Income	Categorical Eligibility	W-9/Payee Information, Eviction Restrictions During Covered Period AND Future Months							7/23/2021	7/28/2022	Sac and Fox Tribe of The Mississippi In Iowa	41.98768, -92.6520784
State	Kansas			Kansas Emergency Rental Assistance	The Kansas Emergency Rental Assistance (KERA) program provides rent, utility, and internet assistance to households experiencing financial hardship as a result of the COVID pandemic. Landlords and tenants apply via a joint online process. If the application is approved, the landlord or service provider receives funds directly from KERA and applies KERA funds to the applicant’s account. Approved applicants are eligible for up to 12 months of assistance.	https://kshousingcorp.org/emergency-rental-assistance	State of Kansas, Johnson County, Housing Authority Of The Iowa Tribe Of Ks & Ne, Kickapoo Housing Authority, Prairie Band Potawatomi Nation, Sac And Fox Nation Of Missouri Housing Authority	Applications on hold/Waitlist	Kansas Housing Resources Corporation, Multiple nonprofits	Public-private collaboration	Unspecified	Intake support	$334,035,434.00	Treasury ERA1 and Treasury ERA2	Both	15 months	15 months		Yes	12 months	Electric, gas, water, sewer, trash services, internet expenses	Yes	Relocation Expenses, Late Fees, Internet, Uncategorized Housing Expenses	Both	Yes		Unspecified		First-come first-served	80% AMI or less, Hardship during OR due to COVID, Housing Instability, Any govt. ID, Current Lease		Yes	Self-Attestation Permitted	COVID Hardship, Income, Income Non-Traditional, Housing Instability	Categorical Eligibility	W-9/Payee Information, Waive Late Fees, Eviction Restrictions During Covered Period, Rental Ledger/ Lease	https://kshousingcorp.org/emergency-rental-assistance	https://kshousingcorp.org/wp-content/uploads/2021/03/KERA-Official-FAQs.pdf					3/17/2021	7/28/2022	Kansas	39.011902, -98.4842465
City	Kansas	Wichita		Wichita Emergency Rental Assistance Program (WERAP)	Wichita residents can apply for assistance through the Wichita Emergency Rental Assistance Program (WERAP) administered by the city’s Housing and Community Services division, the city explained. The city’s online application opens next Monday (Feb. 22). Tenants may qualify for federal assistance if they earn no more than 80 percent of their area’s median income, are experiencing documented financial hardship as a result of the pandemic and could be at risk of housing or becoming homeless without assistance.	https://www.wichita.gov/Housing/Pages/WERAP.aspx		Program permanently closed	Witchita Housing and Community Services	Single agency (public sector)	Unspecified	n/a	$22,197,932.20	Treasury ERA1 and Treasury ERA2	Both	12 months	12 months		Yes		Electricity, gas, water and sewer, trash removal and energy costs,	Yes	Hotel/Motel Stays, Internet	Tenant	Yes		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease		Yes	Self-Attestation Permitted	COVID Hardship, Income, Housing Instability	Fact-specific proxy and Categorical Eligibility	W-9/Payee Information	https://www.wichita.gov/Housing/Pages/WERAP.aspx	https://www.kwch.com/2021/02/04/wichita-prepares-to-launch-rental-assistance-program/					2/18/2021	7/28/2022	Wichita, Kansas	37.68717609999999, -97.33005299999999
County	Kansas	Sedgwick County		Wichita-Sedgwick County Community Action Partnership Emergency Assistance Program	This new Emergency Assistance Program is to assist Sedgwick County residents impacted by COVID-19 with rental and utility payment assistance and foreclosure counseling. Eligibility requirements are: financial hardship due to COVID-19, meet federal income guidelines, reside in Sedgwick County.	https://www.wichita.gov/Housing/WSCCAP/Pages/EAP.aspx		Applications on hold/Waitlist	Wichita Housing and Community Services, Wichita Sedgwick County Community Action Partnership	Public-private collaboration	Unspecified	Application Processing	$2,978,002.50	Treasury ERA2 only	Unknown				Yes			Yes	Uncategorized Housing Expenses	Unknown	Yes		Unspecified		Unknown	Hardship due to COVID, Unspecified		Unknown	Unknown		Unspecified								10/12/2021	7/28/2022	Sedgwick County, Kansas	37.6537367, -97.5247243
State	Kentucky			Healthy at Home Eviction Relief Fund	Funding from the U.S. Treasury was sent to three Kentucky jurisdictions – the state of Kentucky, Lexington-Fayette Urban County Government, and Louisville-Jefferson County Metro Government. All three programs will offer the same rent assistance to approved applicants – 100 percent of past-due rent, dating back to April 2020, and up to three months of future payments.	https://teamkyhherf.ky.gov/		Accepting applications	Kentucky Housing Corporation	Single agency (public sector)	Unspecified	n/a	$458,257,106.40	Treasury ERA1 only	Both	15 months	12 months		Yes	15 months		Unknown		Tenant	Yes		Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, State-issued govt. ID, Current Lease	Eviction Notice, Past Due Rent	Yes	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional	Fact-specific proxy and Categorical Eligibility	W-9/Payee Information, Waive Late Fees, Eviction Restrictions During Covered Period AND Future Months, Rental Ledger/ Lease	https://teamkyhherf.ky.gov/?utm_source=eGrams&utm_campaign=40a6294075-EMAIL_CAMPAIGN_2020_11_02_11_46_COPY_01&utm_medium=email&utm_term=0_8585e42106-40a6294075-1306242954	Email communication					2/12/2021	7/28/2022	Kentucky	37.8393332, -84.2700179
County	Kentucky	Lexington-Fayette Urban County Government		Housing Stabilization Partnership Program	As Fayette County begins to rebound from the impacts of COVID-19, the Lexington-Fayette Urban County Government has established a Housing Stabilization Program to minimize trauma and crisis caused by lack of secure housing. This program will also reduce evictions, allow landlords to get substantial payments for back rent, reduce the potential spread of COVID-19 by allowing individuals and families to practice Healthy at Home, and reduce the impact on the homeless service delivery system.	https://commaction.org/housing-stabilization/		Accepting applications	Lexington-Fayette Urban County Goverment, Community Action Agency, multiple nonprofits	Public-private collaboration	Unspecified	Targeted outreach, Application processing, Case management	$29,010,173.20	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months		Yes			Yes	Uncategorized Housing Expenses	Tenant	Yes		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs	Eviction Notice, Past Due Rent, Unsafe or unhealthy living conditions	Yes	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional, Housing Instability	Categorical Eligibility	W-9/Payee Information, Waive Late Fees, Eviction Restrictions During Covered Period AND Future Months, Rental Ledger/ Lease	https://www.lexingtonky.gov/how-do-i-get-help	https://drive.google.com/drive/folders/1PQUwIAkgBZJCe5JXnWSPoySB7NJCQh1D	https://www.lexingtonky.gov/news/12-14-2021/national-low-income-housing-advocates-praise-lexingtons-rent-assistance-program				2/12/2021	7/28/2022	Lexington-Fayette Urban County Government, Kentucky	38.06064780000001, -84.4802606
County	Kentucky	Louisville/Jefferson County Metro Government		Jefferson County Rental Assistance	Funding from the U.S. Treasury was sent to three Kentucky jurisdictions – the state of Kentucky, Lexington-Fayette Urban County Government, and Louisville-Jefferson County Metro Government. All three programs will offer the same rent assistance to approved applicants – 100 percent of past-due rent, dating back to April 2020, and up to three months of future payments.	https://www.stopmyeviction.org/form		Accepting applications - rolling basis	Louisville/Jefferson County Metro Government, Louisville Rapid Access Network, Association of Community Ministries	Public-private collaboration	Unspecified	Application processing, Intake support	$76,844,790.40	Treasury ERA1 and Treasury ERA2	Both	15 months			Unknown			Yes		Tenant	Yes		Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease, Proof of Residency, SSN, Green Card, or Self-Declared Undocumented Form		Yes	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional, Lease	Fact-specific proxy	W-9/Payee Information	https://www.stopmyeviction.org/						2/12/2021	7/28/2022	Louisville/Jefferson County Metro Government, Kentucky	38.1938097, -85.64348700000001
State	Louisiana			Louisiana Emergency Rental Assistance Program (LERAP)	The State of Louisiana is launching the U.S. Treasury Emergency Rental Assistance Program to provide emergency rental assistance to Louisiana residents who are at risk of experiencing homelessness or housing instability due to the COVID-19 pandemic. The program is funded through the federal Coronavirus Response and Relief Supplemental Appropriations Act, 2020 (H.R. 133). This relief package includes $25 billion for emergency rental assistance, of which $161 million has been allocated to the state to provide assistance in 57 Louisiana parishes.	https://erap.lacovidhousing.com/		Accepting applications	Louisiana Office of Community Development, Louisiana Housing Corporation, multiple nonprofits	Public-private collaboration	Unspecified	Intake support	$334,130,740.60	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months		Yes	15 months		Yes	Late fees	Both	Yes	14 days	Prioritization required, Process not established on website		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Any govt. ID	Eviction Notice, Past Due Rent, Past due utility	Yes	Self-Attestation Permitted	COVID Hardship, Income, Housing Instability	Categorical Eligibility	W-9/Payee Information, Waive Late Fees, Eviction Restrictions During Covered Period AND Future Months, Rental Registry, documents to establish ownership of property, government issued ID	https://www.lastaterent.com/copy-of-landlord-resources	https://b7d5d82d-c0cf-4ce3-9660-5fcb9c232295.filesusr.com/ugd/be549d_55df800da5f6408b86a68960e27f30de.pdf					3/5/2021	7/28/2022	Louisiana	30.9842977, -91.96233269999999
City	Louisiana	Baton Rouge		East Baton Rouge Emergency Rental Assistance Program	The EBR Emergency Solutions portal is designed to rapidly and efficiently prioritize how City-Parish allocates resources currently received from the U.S. Treasury and anticipated resources connected to American Rescue Act. The City of Baton Rouge received a direct initial allocation of $6.5 million from the U.S. Treasury to provide rental assistance needs in response to the coronavirus pandemic, and is set to receive another $22.5 million to accommodate the level of need on the Louisiana Emergency Rental Assistance Program waitlist in the parish.	https://ebremergencysolutions.com/		Applications on hold/Waitlist	City of Baton Rouge	Single agency (public sector)	Unspecified	n/a	$77,880,502.70	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months	MONTHLY: 125% FMR	No			Yes	Relocation Expenses, Hotel/Motel Stays, Internet Uncategorized Housing Expenses	Both	Yes	2 days	Prioritization required, Process not established on website	Priority 2: Active/ at risk of eviction; Priority 3: Applicants who applied to the LERAP program in 2020 and were found eligible but did not receive funding	First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Any govt. ID, Current Lease	Eviction Notice, Past Due Rent, Past due utility	Yes	Self-Attestation Permitted	Income, Income Non-Traditional	Fact-specific proxy and Categorical Eligibility	W-9/Payee Information, Waive Late Fees, Eviction Restrictions During Covered Period AND Future Months, Future Rent Increase Restrictions, Must waive court costs	https://ebremergencysolutions.com/Renter_Document_Checklist.pdf	https://www.wafb.com/2021/03/08/ebr-launches-emergency-solutions-portal-preparation-rental-assistance-program/	https://ebremergencysolutions.com/EBR_ERAP_Policies_and_Procedures.pdf				3/16/2021	7/28/2022	Baton Rouge, Louisiana	30.5693593, -91.09693999999999
County	Louisiana	Caddo Parish		Caddo Parish's Emergency Rental Assistance (ERA) Program	Caddo Parish's Emergency Rental Assistance (ERA) Program provides rental assistance for Caddo Parish renters facing COVID-related financial hardships.	https://caddo.covidrenthelp.org/Account/Login?ReturnUrl=%2F		Applications on hold/Waitlist	Caddo Parish, private attorneys	Public-private collaboration	Unspecified	Case management	$21,861,538.21	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months	TOTAL: 150% FMR	Yes	12 months	electric	Yes	Relocation Expenses, Late Fees, Hote/Motel Stays, Internet, Uncategorized Housing Expenses	Both	Yes	10 days	Prioritization required, Process not established on website	Applied for but didn't receive LERAP funds	Lottery	80% AMI or less, Hardship due to COVID, Housing Instability, Any govt. ID, Current Lease, SSN, Alien Registration Number	Eviction Notice, Past Due Rent, past due utility	Yes	Self-Attestation Permitted	COVID Hardship, Income, Lease	Unspecified	W-9/Payee Information, Rental Ledger/ Lease, If requested--proof of ownership	https://caddo.covidrenthelp.org/Home/Faqs	https://caddo.covidrenthelp.org/Account/Login?ReturnUrl=%2F	https://www.shreveporttimes.com/story/news/2021/07/13/shreveport-area-resources-end-eviction-moratorium/7943255002/				3/31/2021	7/28/2022	Caddo Parish, Louisiana	21.3069857, -157.8584319
